MorphoJ_ID,TPSDig_ID,Gonadal_Specimen_ID,All_Fish_ID,Tissue_Sample_ID,Species,Location,Location_Code,Sex,Mature,Gonadal_Stage,Gonadal_Stage_Index,Standard_Length,Standard_Length_mm,Weight_g,Habitat_Area,Distance_from_PopHub_km,Pop_Density,Pop_Size,NumFishers_Abner,NumFishersTargetingSiganids_Abner,FishersWithRegisteredGear_FisheriesProfile,NumFishers_FISHR,PopSize_DIV_HabitatArea,NumFishers_Abner_DIV_HabitatArea,NumFishersTargetingSiganids_Abner_DIV_HabitatArea,FishersWithRegisteredGear_FisheriesProfile_DIV_HabitatArea,NumFishers_FISHR_DIV_HabitatArea,B-value,PC1,PC2,Csize,lnCsize,TW_Csize,lnTW_lnCsize,Total_Length_cm,TW_TL
0,1,SFU-SIL-001,SFU-SIL-001,SFU-SIL-001,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 5,5,15.7,157,95.04,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,27.04630423,3.297550369,3.513973635,1.381115479,18.7,5.082352941
1,2,SFU-SIL-002,SFU-SIL-002,SFU-SIL-002,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 3,3,13.6,136,54.42,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,22.60762804,3.118287373,2.40715213,1.281707314,16.2,3.359259259
2,3,SFU-SIL-003,SFU-SIL-003,SFU-SIL-003,Siganus_fuscescens,Dumaguete,DUMA,M,N,Stage 2b,2.5,14.8,148,73.3,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,24.39067021,3.194200691,3.005247472,1.344486782,17.5,4.188571429
3,4,SFU-SIL-004,SFU-SIL-004,SFU-SIL-004,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 4,4,16.8,168,88.26,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,26.56873609,3.27973519,3.321949516,1.366051448,19,4.645263158
4,5,SFU-SIL-005,SFU-SIL-005,SFU-SIL-005,Siganus_fuscescens,Dumaguete,DUMA,M,N,Stage 2b,2.5,14.4,144,65.92,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,23.88150784,3.173104429,2.76029472,1.319982364,17,3.877647059
5,6,SFU-SIL-006,SFU-SIL-006,SFU-SIL-006,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 4,4,14.3,143,66.07,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,23.80060376,3.169710948,2.775979999,1.322112601,17.3,3.819075145
6,7,SFU-SIL-007,SFU-SIL-007,SFU-SIL-007,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 4,4,15.2,152,81.09,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,25.41207688,3.235224529,3.191002466,1.358656752,18.6,4.359677419
7,8,SFU-SIL-008,SFU-SIL-008,SFU-SIL-008,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 5,5,14.6,146,70.2,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,24.36306374,3.193068204,2.881411006,1.331430473,17.4,4.034482759
8,9,SFU-SIL-009,SFU-SIL-009,SFU-SIL-009,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 3,3,15.5,155,79.6,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,26.04703432,3.259903916,3.056010102,1.342681933,18.7,4.256684492
9,10,SFU-SIL-010,SFU-SIL-010,SFU-SIL-010,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 3,3,14.7,147,70.09,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,24.26458633,3.189017935,2.888571808,1.332629737,17.9,3.915642458
10,11,SFU-SIL-011,SFU-SIL-011,SFU-SIL-011,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 4,4,15.9,159,94.43,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,27.01105064,3.296246065,3.495976564,1.379708532,19.4,4.867525773
11,12,SFU-SIL-012,SFU-SIL-012,SFU-SIL-012,Siganus_fuscescens,Dumaguete,DUMA,M,N,Stage 2b,2.5,16.2,162,102.76,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,27.18124161,3.302527089,3.780548419,1.402682264,19.5,5.26974359
12,13,SFU-SIL-013,SFU-SIL-013,SFU-SIL-013,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 4,4,16.1,161,101.25,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,27.06468825,3.298229862,3.741036995,1.400021496,19.5,5.192307692
13,14,SFU-SIL-014,SFU-SIL-014,SFU-SIL-014,Siganus_fuscescens,Dumaguete,DUMA,F,Y,Stage 3,3,20.2,202,205.21,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.938,-1.64272,0.4501563,34.72874461,3.547567719,5.908938037,1.500756086,23.5,8.732340426
14,15,SFU-SIL-015,SFU-SIL-015,SFU-SIL-015,Siganus_fuscescens,Dumaguete,DUMA,M,Y,Stage 5,5,15.8,158,97.89,12.74,0,3829,131377,,,3,262,26811.63265,0,0,0.235478807,20.56514914,2.509,-1.64272,0.4501563,26.43993048,3.274875386,3.702354667,1.399700404,18.9,5.179365079
